ID,Predicted
000,1
001,0
002,0
003,1
004,0
005,0
006,1
007,0
008,0
009,0
010,1
011,0
012,1
013,0
014,0
015,1
016,1
017,0
018,1
019,0
020,0
021,0
022,1
023,0
024,0
025,1
026,1
027,0
028,0
029,1
030,1
031,1
032,0
033,0
034,0
035,1
036,0
037,0
038,1
039,0
040,1
041,0
042,0
043,0
044,0
045,1
046,1
047,1
048,1
049,0
050,0
051,0
052,1
053,0
054,0
055,1
056,1
057,0
058,0
059,0
060,1
061,0
062,0
063,1
064,0
065,1
066,1
067,1
068,0
069,0
070,1
071,1
072,0
073,0
074,1
075,1
076,0
077,1
078,0
079,1
080,1
081,0
082,0
083,0
084,0
085,1
086,0
087,0
088,0
089,0
090,0
091,1
092,1
093,1
094,0
095,1
096,0
097,0
098,1
099,0
100,1
101,1
102,0
103,1
104,0
105,1
106,1
107,0
108,1
109,1
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,1
134,0
135,1
136,0
137,0
138,1
139,0
140,0
141,0
142,1
143,1
144,0
145,1
146,0
147,0
148,1
149,1
150,1
151,0
152,0
153,1
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,0
173,1
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,1
188,1
189,0
190,1
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,0
207,0
208,1
209,0
210,0
211,1
212,1
213,1
214,1
215,1
216,1
217,0
218,1
219,0
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,1
233,1
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,1
283,0
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,0
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,1
335,1
336,0
337,0
338,1
339,1
340,1
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,0
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,0
374,0
375,1
376,1
377,0
378,0
379,1
380,1
381,1
382,1
383,0
384,0
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,1
395,1
396,0
397,0
398,0
399,0
